"full_name","gender","mfa_degree","role","prize_year","prize_name","prize_amount","prize_institution","prize_type","prize_genre","given_name","last_name","author_wikidata","author_wikidata_label","author_viaf","author_lccn","elite_institution","graduate_degree","iowa_mfa_person_id","stegner","title_of_winning_book"
"David Wagoner","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","David","Wagoner","Q5240765","David Wagoner","115610603","n80010019","","graduate","","",""
"David Wagoner","male","","winner","1991","Ruth Lilly Poetry Prize","100,000","Poetry Foundation","career","poetry","David","Wagoner","Q5240765","David Wagoner","115610603","n80010019","","graduate","","",""
"John Holman","male","","winner","1991","Whiting Award","50,000","Whiting Foundation","career","no genre","John","Holman","Q6239649","John Holman","33559296","n88206712","","graduate","","",""
"Christopher Davis","male","","winner","1991","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Christopher","Davis","Q20707604","Christopher Davis","114768351","n88288930","University of Pennsylvania","","","",""
"W. S. Merwin","male","","judge","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","W. S.","Merwin","Q680368","W. S. Merwin","110923132","n50036920","Princeton University","","","",""
"Harry Mathews","male","","winner","1991","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Harry","Mathews","Q2915679","Harry Mathews","98040478","n83130074","Harvard University","","","",""
"James Schevill","male","","winner","1991","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","James","Schevill","Q6142827","James Schevill","19691843","n50016075","Harvard University","","","",""
"William Bronk","male","","winner","1991","Lannan Award","150,000","Lannan Foundation","career","poetry","William","Bronk","Q264694","William Bronk","79048234","n50040537","Dartmouth College","","","",""
"Franz Wright","male","","winner","1991","Whiting Award","50,000","Whiting Foundation","career","no genre","Franz","Wright","Q5493008","Franz Wright","119473497","n82162317","","","","",""
"Herbert Morris","male","","winner","1991","Lannan Award","150,000","Lannan Foundation","career","poetry","Herbert","Morris","","","","","","","","",""
